chapter,in,metadataTags,out,storyline-importance
chapter006,38578,"{""Guest"":""Marianne Hill,Mike Willliams"",""Guest affiliation"":""Artist, Ecologist"",""elapsed"":""00:25:43"",""oute"":""38946"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment071"",""shot"":""montage"",""subject"":""bugs""}",38947,6
chapter006,38947,"{""Guest"":""Marianne Hill,Mike Willliams"",""Guest affiliation"":""Artist, Ecologist"",""elapsed"":""00:25:57"",""oute"":""39999"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment072"",""shot"":""montage"",""subject"":""bugs""}",40000,3
chapter006,40000,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:26:40"",""oute"":""40771"",""primary-topic"":""insects"",""scene"":""scene006"",""segment"":""segment073"",""shot"":""talking-heads"",""subject"":""bugs""}",40772,1
chapter007,40772,"{""Chris Packham"":""TRUE"",""Guest"":""Dan Lettuce"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:27:10"",""oute"":""41157"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment074"",""shot"":""underwater"",""subject"":""humpback whale""}",41158,3
chapter007,41158,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:27:26"",""oute"":""41658"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""bubble fishing"",""segment"":""segment075"",""shot"":""aerial"",""subject"":""humpback whale""}",41659,10
chapter007,41659,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:27:46"",""oute"":""42077"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""bubble fishing"",""segment"":""segment076"",""shot"":""talking-heads"",""subject"":""humpback whale""}",42078,6
chapter007,42078,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:28:03"",""oute"":""44138"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment077"",""shot"":""talking-heads"",""subject"":""humpback whale""}",44139,1
chapter007,44139,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:29:25"",""oute"":""44573"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo"",""segment"":""segment078"",""shot"":""aerial"",""subject"":""humpback whale""}",44574,6
chapter007,44574,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:29:42"",""oute"":""44841"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo"",""segment"":""segment079"",""shot"":""talking-heads"",""subject"":""humpback whale""}",44842,1
chapter007,44842,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:29:53"",""oute"":""45297"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo"",""segment"":""segment080"",""shot"":""poster"",""subject"":""humpback whale""}",45298,6
chapter007,45298,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:30:11"",""oute"":""45700"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment081"",""shot"":""poster"",""subject"":""humpback whale""}",45710,6
chapter007,45710,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:03:02"",""oute"":""46359"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment082"",""shot"":""poster"",""subject"":""humpback whale""}",46360,3
chapter007,46360,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:30:54"",""oute"":""46924"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment083"",""shot"":""poster"",""subject"":""humpback whale""}",46925,6
chapter007,46925,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:31:17"",""oute"":""49473"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment084"",""shot"":""poster"",""subject"":""humpback whale""}",49474,3
chapter007,49474,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:32:58"",""oute"":""49830"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment085"",""shot"":""poster"",""subject"":""humpback whale""}",49831,10
chapter007,49831,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:33:13"",""oute"":""51007"",""primary-topic"":""humpback"",""scene"":""scene006"",""secondary-topic"":""poo science"",""segment"":""segment086"",""shot"":""poster"",""subject"":""humpback whale""}",51008,1
chapter008,51008,"{""Leif Bersweden"":""TRUE"",""elapsed"":""00:34:00"",""oute"":""51300"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment087"",""shot"":""botany-insert"",""subject"":""foxgloves""}",51301,6
chapter008,51301,"{""Leif Bersweden"":""TRUE"",""elapsed"":""00:34:12"",""oute"":""51553"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment088"",""shot"":""botany-insert"",""subject"":""foxgloves""}",51554,10
chapter008,51554,"{""Leif Bersweden"":""TRUE"",""elapsed"":""00:34:22"",""oute"":""51741"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment089"",""shot"":""botany-insert"",""subject"":""foxgloves""}",51742,6
chapter008,51742,"{""Leif Bersweden"":""TRUE"",""elapsed"":""00:34:29"",""oute"":""52499"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment090"",""shot"":""botany-insert"",""subject"":""foxgloves""}",52500,3
chapter008,52500,"{""Leif Bersweden"":""TRUE"",""elapsed"":""00:35:00"",""oute"":""52671"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment091"",""shot"":""botany-insert"",""subject"":""foxgloves""}",52672,6
chapter008,52672,"{""Leif Bersweden"":""TRUE"",""elapsed"":""00:35:06"",""oute"":""53278"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment092"",""shot"":""botany-insert"",""subject"":""foxgloves""}",53279,3
chapter009,53279,"{""Megan McCubbin"":""TRUE"",""elapsed"":""00:35:31"",""oute"":""53848"",""primary-topic"":""humpback"",""scene"":""scene006"",""segment"":""segment093"",""shot"":""talking-heads"",""subject"":""foxgloves""}",53849,1
chapter009,53849,"{""Megan McCubbin"":""TRUE"",""elapsed"":""00:35:53"",""oute"":""56951"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""sound"",""segment"":""segment094"",""shot"":""bat-insert"",""subject"":""bats""}",56952,3
chapter009,56952,"{""Megan McCubbin"":""TRUE"",""elapsed"":""00:37:58"",""oute"":""57519"",""primary-topic"":""bats"",""scene"":""scene006"",""secondary-topic"":""ultrasound"",""segment"":""segment095"",""shot"":""poster"",""subject"":""bats""}",57520,10
